,PV,nonCriticalLoad,criticalLoad
05/21/2015 2330,-0.1,4447.264,1298.7330000000002
05/21/2015 2345,-0.1,4274.403999999999,1250.034
05/22/2015 0000,-0.1,4101.688,1203.027
05/22/2015 0015,-0.1,3944.0370000000003,1156.884
05/22/2015 0030,-0.1,3796.832,1124.0810000000001
05/22/2015 0045,-0.1,3669.165,1088.6309999999999
05/22/2015 0100,-0.1,3566.9269999999997,1064.462
05/22/2015 0115,-0.1,3481.705,1026.941
05/22/2015 0130,-0.1,3397.701,1008.73
05/22/2015 0145,-0.1,3326.3030000000003,992.392
05/22/2015 0200,-0.1,3251.133,969.774
05/22/2015 0215,-0.1,3206.652,955.1870000000001
05/22/2015 0230,-0.1,3170.3940000000002,946.9000000000001
05/22/2015 0245,-0.1,3133.7429999999995,933.845
05/22/2015 0300,-0.1,3110.904,931.0229999999999
05/22/2015 0315,-0.1,3092.112,921.462
05/22/2015 0330,-0.1,3070.2180000000003,915.5799999999999
05/22/2015 0345,-0.1,3052.9509999999996,907.583
05/22/2015 0400,-0.1,3047.912,905.2239999999999
05/22/2015 0415,-0.1,3036.7250000000004,905.2070000000001
05/22/2015 0430,-0.1,3045.2670000000003,906.7760000000001
05/22/2015 0445,-0.1,3092.357,913.63
05/22/2015 0500,-0.1,3175.4030000000002,928.2719999999999
05/22/2015 0515,-0.1,3240.535,950.951
05/22/2015 0530,-0.1,3346.608,975.0509999999999
05/22/2015 0545,-0.1,3464.3520000000003,1005.261
05/22/2015 0600,-0.1,3628.4230000000002,1047.4470000000001
05/22/2015 0615,-0.1,3808.4549999999995,1094.08
05/22/2015 0630,12.018455527041755,3963.776,1127.613
05/22/2015 0645,24.89486583405326,4094.885,1190.248
05/22/2015 0700,36.527196101962126,4180.3189999999995,1213.266
05/22/2015 0715,60.03737988408571,4210.889,1235.653
05/22/2015 0730,97.86944670719332,4156.981,1244.856
05/22/2015 0745,148.74854970156287,4037.941,1241.721
05/22/2015 0800,209.39211202476406,3953.8520000000008,1270.734
05/22/2015 0815,276.0382663127736,3993.832,1288.4560000000001
05/22/2015 0830,345.3175450475973,3998.2270000000003,1292.491
05/22/2015 0845,414.60974405706486,4000.08,1300.7150000000001
05/22/2015 0900,482.09470909025583,4012.384,1335.167
05/22/2015 0915,546.6480383786314,4002.9779999999996,1347.613
05/22/2015 0930,607.6737754220795,4015.241,1361.042
05/22/2015 0945,664.9266826919755,4039.583,1370.5700000000002
05/22/2015 1000,718.3527198826531,4044.6980000000003,1365.737
05/22/2015 1015,767.9622771012555,4079.106,1377.06
05/22/2015 1030,813.7422265866825,4095.576,1382.652
05/22/2015 1045,855.6075853666999,4109.590999999999,1394.153
05/22/2015 1100,893.3903443778139,4143.076,1406.838
05/22/2015 1115,926.8608607360446,4162.517,1419.065
05/22/2015 1130,955.775739401272,4158.409,1418.353
05/22/2015 1145,979.9451351721779,4155.626,1437.2740000000001
05/22/2015 1200,999.311200296854,4175.608,1440.233
05/22/2015 1215,1014.0268024517624,4198.548,1443.32
05/22/2015 1230,1024.5157934911908,4196.349,1429.505
05/22/2015 1245,1031.4679499702868,4179.513000000001,1434.429
05/22/2015 1300,1035.6172788266474,4172.253000000001,1426.772
05/22/2015 1315,1036.971073991331,4187.856,1423.6639999999998
05/22/2015 1330,1034.6620908227683,4169.677000000001,1416.109
05/22/2015 1345,1029.2187216803986,4136.205,1422.922
05/22/2015 1400,1021.0586957312831,4126.732,1411.6209999999999
05/22/2015 1415,1009.5559933598104,4118.952,1405.329
05/22/2015 1430,993.9367151394056,4119.700999999999,1399.595
05/22/2015 1445,973.6566390088309,4185.378,1395.513
05/22/2015 1500,948.4526271845191,4204.407,1400.844
05/22/2015 1515,918.2948446254572,4240.768,1390.9630000000002
05/22/2015 1530,883.3102063824848,4276.044,1403.888
05/22/2015 1545,843.7021239446705,4313.544,1413.825
05/22/2015 1600,799.6795107849106,4238.728,1377.1750000000002
05/22/2015 1615,751.4043811820155,4299.072999999999,1390.4609999999998
05/22/2015 1630,698.9660631118161,4353.922,1391.558
05/22/2015 1645,642.3892786100021,4375.965,1399.238
05/22/2015 1700,581.682258623496,4447.927000000001,1405.7559999999999
05/22/2015 1715,516.9293686210065,4545.416,1419.787
05/22/2015 1730,448.4299235504774,4619.97,1421.946
05/22/2015 1745,376.87967567200985,4716.8150000000005,1442.276
05/22/2015 1800,303.5818083903473,4841.68,1482.621
05/22/2015 1815,230.65552405904447,4944.691,1490.172
05/22/2015 1830,161.1728827946082,5046.124000000001,1508.536
05/22/2015 1845,99.08300253425693,5121.997,1521.566
05/22/2015 1900,48.66752418162829,5208.915,1532.875
05/22/2015 1915,13.207863754583219,5283.229,1555.275
05/22/2015 1930,-0.1,5389.991,1577.939
05/22/2015 1945,-0.1,5476.119,1598.016
05/22/2015 2000,-0.1,5558.319000000001,1628.5320000000002
05/22/2015 2015,-0.1,5607.397999999999,1615.401
05/22/2015 2030,-0.1,5598.4710000000005,1597.156
05/22/2015 2045,-0.1,5564.624,1588.9299999999998
05/22/2015 2100,-0.1,5533.973999999999,1578.252
05/22/2015 2115,-0.1,5491.374,1551.1
05/22/2015 2130,-0.1,5426.678,1530.875
05/22/2015 2145,-0.1,5343.776,1512.306
05/22/2015 2200,-0.1,5229.507,1484.2669999999998
05/22/2015 2215,-0.1,5123.679,1452.851
05/22/2015 2230,-0.1,4999.749,1419.1109999999999
05/22/2015 2245,-0.1,4847.752,1385.542
05/22/2015 2300,-0.1,4675.578,1343.8609999999999
05/22/2015 2315,-0.1,4494.636,1292.1390000000001
05/22/2015 2330,-0.1,4326.08,1258.771
05/22/2015 2345,-0.1,4170.102000000001,1218.292
05/23/2015 0000,-0.1,4158.196,1226.118
05/23/2015 0015,-0.1,4021.2880000000005,1181.3600000000001
05/23/2015 0030,-0.1,3880.646,1143.085
05/23/2015 0045,-0.1,3762.366,1102.723
05/23/2015 0100,-0.1,3652.428,1085.691
05/23/2015 0115,-0.1,3568.867,1053.034
05/23/2015 0130,-0.1,3482.757,1029.4089999999999
05/23/2015 0145,-0.1,3406.324,1015.7560000000001
05/23/2015 0200,-0.1,3329.5890000000004,995.5529999999999
05/23/2015 0215,-0.1,3268.6040000000003,974.755
05/23/2015 0230,-0.1,3230.5170000000003,958.697
05/23/2015 0245,-0.1,3194.8149999999996,945.037
05/23/2015 0300,-0.1,3158.9570000000003,928.45
05/23/2015 0315,-0.1,3116.818,919.397
05/23/2015 0330,-0.1,3107.934,914.1030000000001
05/23/2015 0345,-0.1,3073.012,908.89
05/23/2015 0400,-0.1,3059.046,903.0120000000001
05/23/2015 0415,-0.1,3044.2499999999995,892.9159999999999
05/23/2015 0430,-0.1,3038.1880000000006,894.833
05/23/2015 0445,-0.1,3051.406,900.716
05/23/2015 0500,-0.1,3069.2690000000002,903.472
05/23/2015 0515,-0.1,3113.7889999999998,904.8130000000001
05/23/2015 0530,-0.1,3153.71,916.798
05/23/2015 0545,-0.1,3184.525,921.062
05/23/2015 0600,-0.1,3247.5989999999997,927.7539999999999
05/23/2015 0615,-0.1,3319.259,931.713
05/23/2015 0630,12.459625595075439,3370.994,954.942
05/23/2015 0645,25.187784051691548,3430.478,975.664
05/23/2015 0700,36.79161911148152,3505.7349999999997,990.131
05/23/2015 0715,60.39565164662428,3626.03,1013.5310000000001
05/23/2015 0730,98.31722828947477,3725.117,1050.1399999999999
05/23/2015 0745,149.24074240661395,3792.6549999999997,1100.975
05/23/2015 0800,209.87756287797316,3930.077,1176.586
05/23/2015 0815,276.4761677580135,4060.0809999999997,1202.239
05/23/2015 0830,345.68168780122465,4137.309,1231.279
05/23/2015 0845,414.88693736904025,4248.669,1251.839
05/23/2015 0900,482.28125605485786,4358.623,1286.5859999999998
05/23/2015 0915,546.7461908200294,4417.871999999999,1320.5279999999998
05/23/2015 0930,607.6889498686568,4446.7119999999995,1320.871
05/23/2015 0945,664.865631422398,4493.736999999999,1353.239
05/23/2015 1000,718.222574285989,4554.701000000001,1366.714
05/23/2015 1015,767.7702658311858,4613.361,1398.091
05/23/2015 1030,813.4958378164096,4639.173,1413.509
05/23/2015 1045,855.3149488516675,4668.381,1416.831
05/23/2015 1100,893.0606325308415,4708.282,1431.799
05/23/2015 1115,926.5045353756768,4728.4039999999995,1439.3339999999998
05/23/2015 1130,955.4044915944622,4733.639999999999,1439.957
05/23/2015 1145,979.57136585258,4724.9259999999995,1445.339
05/23/2015 1200,998.946843889259,4722.868000000001,1444.8519999999999
